Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.0359209078495765,-0.000473046542141413,-0.0390188140995077,0,0,0,5.95599417730644,0.00533272269270679,2.89212568524455E-06,8.78234888917817E-06,0.0172139094269325,-1.16537498103387E-07,0.0202509310236266,0,0,0,0,0,0,package://HDJQR-0102-0055.SLDASM/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://HDJQR-0102-0055.SLDASM/meshes/base_link.STL,,HDJQR-0102-02-1/HDJQR-0102-02-001-1;HDJQR-0102-02-1/电机马达座16-1/电机座板-1;HDJQR-0102-02-1/电机马达座16-1/电机座板-2;HDJQR-0102-02-1/电机马达座16-1/电机座-1;HDJQR-0102-02-1/M3X10铝柱-1;HDJQR-0102-02-1/M3X10铝柱-9;HDJQR-0102-02-1/铝柱M3X80-1;HDJQR-0102-02-1/龙骨架-1/HDJQR-0102-02-002-1;HDJQR-0102-02-1/龙骨架-1/HDJQR-0102-02-003-1;HDJQR-0102-02-1/龙骨架-1/HDJQR-0102-02-004-1;HDJQR-0102-02-1/龙骨架-1/HDJQR-0102-02-004-2;HDJQR-0102-02-1/龙骨架-1/HDJQR-0102-02-005-1;HDJQR-0102-02-1/龙骨架-1/M3铆接螺母-1;HDJQR-0102-02-1/龙骨架-1/M3铆接螺母-2;HDJQR-0102-02-1/龙骨架-1/M3铆接螺母-3;HDJQR-0102-02-1/龙骨架-1/M3铆接螺母-4;HDJQR-0102-02-1/龙骨架-1/M3铆接螺母-5;HDJQR-0102-02-1/龙骨架-1/M3铆接螺母-6;HDJQR-0102-02-1/龙骨架-1/M3铆接螺母-7;HDJQR-0102-02-1/龙骨架-1/M3铆接螺母-8;HDJQR-0102-02-1/HDJQR-0102-02-006-1;HDJQR-0102-02-1/HDJQR-0102-02-007-1;HDJQR-0102-02-1/HDJQR-0102-02-007-2;HDJQR-0102-02-1/脚架-1/倾斜脚架碳管夹16-1;HDJQR-0102-02-1/脚架-1/起落架三通脚架-1;HDJQR-0102-02-1/脚架-1/HDJQR-0101-014A-1;HDJQR-0102-02-1/脚架-1/HDJQR-0101-014A-2;HDJQR-0102-02-1/脚架-1/HDJQR-0102-02-008-1;HDJQR-0102-02-1/脚架-1/HDJQR-0102-02-009-1;HDJQR-0102-02-1/脚架-2/倾斜脚架碳管夹16-1;HDJQR-0102-02-1/脚架-2/起落架三通脚架-1;HDJQR-0102-02-1/脚架-2/HDJQR-0101-014A-1;HDJQR-0102-02-1/脚架-2/HDJQR-0101-014A-2;HDJQR-0102-02-1/脚架-2/HDJQR-0102-02-008-1;HDJQR-0102-02-1/脚架-2/HDJQR-0102-02-009-1;HDJQR-0102-02-1/脚架-3/倾斜脚架碳管夹16-1;HDJQR-0102-02-1/脚架-3/起落架三通脚架-1;HDJQR-0102-02-1/脚架-3/HDJQR-0101-014A-1;HDJQR-0102-02-1/脚架-3/HDJQR-0101-014A-2;HDJQR-0102-02-1/脚架-3/HDJQR-0102-02-008-1;HDJQR-0102-02-1/脚架-3/HDJQR-0102-02-009-1;HDJQR-0102-02-1/HDJQR-0102-02-010-1;HDJQR-0102-02-1/HDJQR-0102-02-010-2;HDJQR-0102-02-1/HDJQR-0102-02-010-3;HDJQR-0102-02-1/面板铆接-1/HDJQR-0102-02-011-1;HDJQR-0102-02-1/面板铆接-1/M3铆接螺母-1;HDJQR-0102-02-1/面板铆接-1/M3铆接螺母-5;HDJQR-0102-02-1/面板铆接-1/M3铆接螺母-9;HDJQR-0102-02-1/面板铆接-1/M3铆接螺母-13;HDJQR-0102-02-1/面板铆接-1/M3铆接螺母-3;HDJQR-0102-02-1/面板铆接-1/M3铆接螺母-2;HDJQR-0102-02-1/面板铆接-1/M3铆接螺母-4;HDJQR-0102-02-1/面板铆接-1/M3铆接螺母-6;HDJQR-0102-02-1/面板铆接-1/M3铆接螺母-7;HDJQR-0102-02-1/面板铆接-1/M3铆接螺母-8;HDJQR-0102-02-1/面板铆接-1/M3铆接螺母-10;HDJQR-0102-02-1/面板铆接-1/M3铆接螺母-11;HDJQR-0102-02-1/面板铆接-1/M3铆接螺母-12;HDJQR-0102-02-1/面板铆接-1/M3铆接螺母-14;HDJQR-0102-02-1/面板铆接-1/M3铆接螺母-15;HDJQR-0102-02-1/面板铆接-1/M3铆接螺母-16;HDJQR-0102-02-1/HDJQR-0102-02-010-4;HDJQR-0102-02-1/HDJQR-0102-02-012-1;HDJQR-0102-02-1/HDJQR-0102-02-013-1;HDJQR-0102-02-1/HDJQR-0102-02-014-1;HDJQR-0102-02-1/HDJQR-0101-032-1;HDJQR-0102-02-1/HDJQR-0101-032-2;HDJQR-0102-02-1/HDJQR-0102-02-007-3;HDJQR-0102-02-1/HDJQR-0102-02-007-4;HDJQR-0102-02-1/HDJQR-0101-032-3;HDJQR-0102-02-1/HDJQR-0101-032-5;HDJQR-0102-02-1/HDJQR-0101-032-6;HDJQR-0102-02-1/HDJQR-0101-032-7;HDJQR-0102-02-1/HDJQR-0101-032-9;HDJQR-0102-02-1/HDJQR-0101-032-10;HDJQR-0102-02-1/HDJQR-0102-02-010-5;HDJQR-0102-02-1/HDJQR-0102-02-010-6;HDJQR-0102-02-1/HDJQR-0102-02-010-7;HDJQR-0102-02-1/HDJQR-0102-02-010-8;HDJQR-0102-02-1/HDJQR-0102-02-012-2;HDJQR-0102-02-1/HDJQR-0102-02-012-3;HDJQR-0102-02-1/铝柱M3X80-2;HDJQR-0102-02-1/铝柱M3X80-3;HDJQR-0102-02-1/铝柱M3X80-4;HDJQR-0102-02-1/M3X10铝柱-10;HDJQR-0102-02-1/M3X10铝柱-11;HDJQR-0102-02-1/M3X10铝柱-12;HDJQR-0102-02-1/M3X10铝柱-6;HDJQR-0102-02-1/M3X10铝柱-7;HDJQR-0102-02-1/M3X10铝柱-8;朗宇V2806-1;达妙科技NX机载电脑-2;四目相机-1;雷迅7-nano-1;分电板-1;天空端天线-1/unirc7 5g ant_3d _module_20250207-1;天空端天线-1/天线固定端-1;天空端天线处理器-1;电池6000mAh-75C-22.2V-6S1P【XT60】-1;天空端天线-2/unirc7 5g ant_3d _module_20250207-1;天空端天线-2/天线固定端-1;HDJQR-0102-01-1/一轴旋转构型-1/BAHHK3516-1;HDJQR-0102-01-1/一轴旋转构型-1/ft8346M-1;HDJQR-0102-01-1/一轴旋转构型-1/舵机臂圆环连接片-1;HDJQR-0102-01-1/一轴旋转构型-1/HDJQR-0102-01-017-1;HDJQR-0102-01-1/一轴旋转构型-1/HDJQR-0102-01-020-1;HDJQR-0102-01-1/一轴旋转构型-1/HDJQR-0101-032-1;HDJQR-0102-01-1/一轴旋转构型-1/HDJQR-0101-032-2;HDJQR-0102-01-1/一轴旋转构型-1/HDJQR-0102-01-022-1;HDJQR-0102-01-1/一轴旋转构型-1/HDJQR-0102-01-017-2;HDJQR-0102-01-1/一轴旋转构型-1/BAHHK3516-2;HDJQR-0102-01-1/一轴旋转构型-1/HDJQR-0101-032-3;HDJQR-0102-01-1/一轴旋转构型-1/HDJQR-0101-032-4;HDJQR-0102-01-2/一轴旋转构型-1/BAHHK3516-1;HDJQR-0102-01-2/一轴旋转构型-1/ft8346M-1;HDJQR-0102-01-2/一轴旋转构型-1/舵机臂圆环连接片-1;HDJQR-0102-01-2/一轴旋转构型-1/HDJQR-0102-01-017-1;HDJQR-0102-01-2/一轴旋转构型-1/HDJQR-0102-01-020-1;HDJQR-0102-01-2/一轴旋转构型-1/HDJQR-0101-032-1;HDJQR-0102-01-2/一轴旋转构型-1/HDJQR-0101-032-2;HDJQR-0102-01-2/一轴旋转构型-1/HDJQR-0102-01-022-1;HDJQR-0102-01-2/一轴旋转构型-1/HDJQR-0102-01-017-2;HDJQR-0102-01-2/一轴旋转构型-1/BAHHK3516-2;HDJQR-0102-01-2/一轴旋转构型-1/HDJQR-0101-032-3;HDJQR-0102-01-2/一轴旋转构型-1/HDJQR-0101-032-4,body,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
xy5,1.10057046868778E-06,1.87880393909268E-07,0.000708802641875526,0,0,0,0.0289694368154207,2.46211877538045E-05,7.99436536745056E-05,-5.30787855086926E-10,0.000301588660504413,-4.95301464177069E-09,0.000325993711929158,0,0,0,0,0,0,package://HDJQR-0102-0055.SLDASM/meshes/xy5.STL,0.501960784313725,0,0,1,0,0,0,0,0,0,package://HDJQR-0102-0055.SLDASM/meshes/xy5.STL,,桨叶-1,xy5z,xyl5,xyj5,continuous,-0.767999999999999,0,0.014875,0,0,-1.5707963267949,base_link,0,0,-1,0,0,-10,10,,,,,,,,
r2,7.145044812484E-05,-0.0392313627048175,0.160772984085926,0,0,0,0.83968612942946,0.00673719731912822,4.96408511596157E-07,-2.07903920871089E-07,0.00159925504363006,9.0048362865675E-05,0.00527979400014687,0,0,0,0,0,0,package://HDJQR-0102-0055.SLDASM/meshes/r2.STL,1,1,1,1,0,0,0,0,0,0,package://HDJQR-0102-0055.SLDASM/meshes/r2.STL,,HDJQR-0102-01-2/EOLO 50APro-1;HDJQR-0102-01-2/EOLO 50APro-2;HDJQR-0102-01-2/半圆臂-1/HDJQR-0102-01-001-1;HDJQR-0102-01-2/半圆臂-1/HDJQR-0102-01-001-4;HDJQR-0102-01-2/半圆臂-1/HDJQR-0102-01-002-1;HDJQR-0102-01-2/半圆臂-1/HDJQR-0102-01-003-1;HDJQR-0102-01-2/半圆臂-1/HDJQR-0102-01-003-2;HDJQR-0102-01-2/半圆臂-1/HDJQR-0102-01-004-1;HDJQR-0102-01-2/半圆臂-1/M3铆接螺母-1;HDJQR-0102-01-2/半圆臂-1/M3铆接螺母-2;HDJQR-0102-01-2/半圆臂-1/M3铆接螺母-3;HDJQR-0102-01-2/半圆臂-1/M3铆接螺母-4;HDJQR-0102-01-2/半圆臂-1/HDJQR-0102-01-001-3;HDJQR-0102-01-2/半圆臂-1/HDJQR-0102-01-001-5;HDJQR-0102-01-2/双支撑共轴单元A-1/GLB-16-1;HDJQR-0102-01-2/双支撑共轴单元A-1/舵机臂圆环连接片-1;HDJQR-0102-01-2/双支撑共轴单元A-1/GLB-16-2;HDJQR-0102-01-2/双支撑共轴单元A-1/HDJQR-0102-01-009-1;HDJQR-0102-01-2/双支撑共轴单元A-1/HDJQR-0102-01-010-1;HDJQR-0102-01-2/双支撑共轴单元A-1/HDJQR-0102-01-012-1;HDJQR-0102-01-2/双支撑共轴单元A-1/HDJQR-0102-01-013-1;HDJQR-0102-01-2/双支撑共轴单元A-1/HDJQR-0102-01-013-2;HDJQR-0102-01-2/双支撑共轴单元A-1/HDJQR-0102-01-015-1;HDJQR-0102-01-2/GB／T70．2-2000内六角平圆头螺钉M3×6-1;HDJQR-0102-01-2/一轴旋转构型-1/HDJQR-0102-01-016-1;HDJQR-0102-01-2/一轴旋转构型-1/HDJQR-0102-01-018-1;HDJQR-0102-01-2/一轴旋转构型-1/HDJQR-0102-01-019-1;HDJQR-0102-01-2/HDJQR-0102-01-021-1;HDJQR-0102-01-2/HDJQR-0102-01-021-2;HDJQR-0102-01-2/HDJQR-0102-01-021-3;HDJQR-0102-01-2/HDJQR-0102-01-021-4;HDJQR-0102-01-2/GB／T70．1-2000内六角圆柱头螺钉M3×5-1;HDJQR-0102-01-2/GB／T70．1-2000内六角圆柱头螺钉M3×5-2;HDJQR-0102-01-2/GB／T70．1-2000内六角圆柱头螺钉M3×5-3;HDJQR-0102-01-2/双支撑共轴单元A-1/ft8346M-1,r2z,r2l,rj2,revolute,0,-0.085500008330717,-0.0128750149542008,1.5707963267949,1.5707963267949,0,base_link,0,0,-1,0,0,-1.57,1.57,,,,,,,,
r1,9.30466671190677E-05,2.2349813872391E-05,-0.223443844620229,0,0,0,0.484385739464898,0.00096555050899191,6.08818609812896E-12,-1.05724087454146E-08,0.00099854740112098,-2.08713841902879E-11,8.66172797694243E-05,0,0,0,0,0,0,package://HDJQR-0102-0055.SLDASM/meshes/r1.STL,0.780392156862745,0.972549019607843,0.956862745098039,1,0,0,0,0,0,0,package://HDJQR-0102-0055.SLDASM/meshes/r1.STL,,HDJQR-0102-01-2/双支撑共轴单元A-1/朗宇EOLO 4112 KV420-1;HDJQR-0102-01-2/双支撑共轴单元A-1/朗宇EOLO 4112 KV420-2;HDJQR-0102-01-2/双支撑共轴单元A-1/GB／T70．2-2000内六角平圆头螺钉M3×6-1;HDJQR-0102-01-2/双支撑共轴单元A-1/HDJQR-0102-01-005-1;HDJQR-0102-01-2/双支撑共轴单元A-1/HDJQR-0102-01-006-2;HDJQR-0102-01-2/双支撑共轴单元A-1/HDJQR-0102-01-007-1;HDJQR-0102-01-2/双支撑共轴单元A-1/HDJQR-0102-01-008-1;HDJQR-0102-01-2/双支撑共轴单元A-1/HDJQR-0102-01-011-1,r1z,r1l,rj1,revolute,0,-0.244700003721606,0.324499997917315,1.5707963267949,-1.5707963267949,0,r2,0,0,-1,0,0,-1.57,1.57,,,,,,,,
xy1,4.01606228161988E-07,-1.03676963247319E-06,0.000693207458100073,0,0,0,0.0289694368059278,0.000321597463119797,-2.11860431161984E-05,-4.96185450871973E-09,4.61238620509702E-06,-4.40689538559192E-10,0.000325993712991362,0,0,0,0,0,0,package://HDJQR-0102-0055.SLDASM/meshes/xy1.STL,0.501960784313725,0,0,1,0,0,0,0,0,0,package://HDJQR-0102-0055.SLDASM/meshes/xy1.STL,,HDJQR-0102-01-2/双支撑共轴单元A-1/桨叶-1,xy1z,xyl1,xyj1,continuous,0,0.0450000117002133,-0.244699989620948,-1.5707963267949,0,0,r1,0,0,-1,0,0,-10,10,,,,,,,,
xy2,-8.47437764350811E-07,7.11773426216617E-07,0.000693223402547287,0,0,0,0.0289694369330827,0.000265508792989947,0.000122809515593011,4.13130942589234E-09,6.07010418128929E-05,2.78311667320247E-09,0.00032599369851842,0,0,0,0,0,0,package://HDJQR-0102-0055.SLDASM/meshes/xy2.STL,0.501960784313725,0,0,1,0,0,0,0,0,0,package://HDJQR-0102-0055.SLDASM/meshes/xy2.STL,,HDJQR-0102-01-2/双支撑共轴单元A-1/桨叶-2,xy2z,xyl2,xyj2,continuous,0,-0.0449999882998028,-0.244699989620977,1.5707963267949,0,0,r1,0,0,-1,0,0,-10,10,,,,,,,,
l2,6.75249363630628E-05,0.0326712514232789,-0.165320554733758,0,0,0,0.863668298517312,0.00673902873710257,-4.92568061426216E-07,2.17778645272729E-07,0.00160098462316541,9.00526875971764E-05,0.00528161503003662,0,0,0,0,0,0,package://HDJQR-0102-0055.SLDASM/meshes/l2.STL,1,1,1,1,0,0,0,0,0,0,package://HDJQR-0102-0055.SLDASM/meshes/l2.STL,,HDJQR-0102-01-1/EOLO 50APro-1;HDJQR-0102-01-1/EOLO 50APro-2;HDJQR-0102-01-1/半圆臂-1/HDJQR-0102-01-001-1;HDJQR-0102-01-1/半圆臂-1/HDJQR-0102-01-001-4;HDJQR-0102-01-1/半圆臂-1/HDJQR-0102-01-002-1;HDJQR-0102-01-1/半圆臂-1/HDJQR-0102-01-003-1;HDJQR-0102-01-1/半圆臂-1/HDJQR-0102-01-003-2;HDJQR-0102-01-1/半圆臂-1/HDJQR-0102-01-004-1;HDJQR-0102-01-1/半圆臂-1/M3铆接螺母-1;HDJQR-0102-01-1/半圆臂-1/M3铆接螺母-2;HDJQR-0102-01-1/半圆臂-1/M3铆接螺母-3;HDJQR-0102-01-1/半圆臂-1/M3铆接螺母-4;HDJQR-0102-01-1/半圆臂-1/HDJQR-0102-01-001-3;HDJQR-0102-01-1/半圆臂-1/HDJQR-0102-01-001-5;HDJQR-0102-01-1/双支撑共轴单元A-1/ft8346M-1;HDJQR-0102-01-1/双支撑共轴单元A-1/GLB-16-2;HDJQR-0102-01-1/双支撑共轴单元A-1/舵机臂圆环连接片-1;HDJQR-0102-01-1/双支撑共轴单元A-1/GLB-16-1;HDJQR-0102-01-1/双支撑共轴单元A-1/HDJQR-0102-01-009-1;HDJQR-0102-01-1/双支撑共轴单元A-1/HDJQR-0102-01-010-1;HDJQR-0102-01-1/双支撑共轴单元A-1/HDJQR-0102-01-012-1;HDJQR-0102-01-1/双支撑共轴单元A-1/HDJQR-0102-01-013-1;HDJQR-0102-01-1/双支撑共轴单元A-1/HDJQR-0102-01-013-2;HDJQR-0102-01-1/双支撑共轴单元A-1/HDJQR-0102-01-014-1;HDJQR-0102-01-1/双支撑共轴单元A-1/HDJQR-0102-01-015-1;HDJQR-0102-01-1/GB／T70．2-2000内六角平圆头螺钉M3×6-1;HDJQR-0102-01-1/一轴旋转构型-1/HDJQR-0102-01-016-1;HDJQR-0102-01-1/一轴旋转构型-1/HDJQR-0102-01-018-1;HDJQR-0102-01-1/一轴旋转构型-1/HDJQR-0102-01-019-1;HDJQR-0102-01-1/HDJQR-0102-01-021-1;HDJQR-0102-01-1/HDJQR-0102-01-021-2;HDJQR-0102-01-1/HDJQR-0102-01-021-3;HDJQR-0102-01-1/HDJQR-0102-01-021-4;HDJQR-0102-01-1/GB／T70．1-2000内六角圆柱头螺钉M3×5-1;HDJQR-0102-01-1/GB／T70．1-2000内六角圆柱头螺钉M3×5-2;HDJQR-0102-01-1/GB／T70．1-2000内六角圆柱头螺钉M3×5-3,l2z,l2l,lj2,revolute,0,0.0855000000000096,-0.0128750000030618,1.5707963267949,1.5707963267949,0,base_link,0,0,1,0,0,-1.57,1.57,,,,,,,,
l1,-9.34016457480591E-05,1.41486477625574E-06,0.223434306719957,0,0,0,0.483858324842276,0.000965663792506058,-1.95651602215628E-06,-1.05551677508614E-08,0.000998429929110158,-6.07227059769482E-10,8.66141539644699E-05,0,0,0,0,0,0,package://HDJQR-0102-0055.SLDASM/meshes/l1.STL,0.780392156862745,0.972549019607843,0.956862745098039,1,0,0,0,0,0,0,package://HDJQR-0102-0055.SLDASM/meshes/l1.STL,,HDJQR-0102-01-1/双支撑共轴单元A-1/朗宇EOLO 4112 KV420-1;HDJQR-0102-01-1/双支撑共轴单元A-1/朗宇EOLO 4112 KV420-2;HDJQR-0102-01-1/双支撑共轴单元A-1/HDJQR-0102-01-005-1;HDJQR-0102-01-1/双支撑共轴单元A-1/HDJQR-0102-01-006-2;HDJQR-0102-01-1/双支撑共轴单元A-1/HDJQR-0102-01-007-1;HDJQR-0102-01-1/双支撑共轴单元A-1/HDJQR-0102-01-008-1;HDJQR-0102-01-1/双支撑共轴单元A-1/HDJQR-0102-01-011-1,l1z,l1l,lj1,revolute,0,0.244699999614929,-0.3245,1.5707963267949,-1.5707963267949,0,l2,0,0,1,0,0,-1.57,1.57,,,,,,,,
xy3,-2.95163165686674E-07,-6.82056824052742E-08,0.000693233658107077,0,0,0,0.028968805386666,0.000159669455210579,-0.000159862473220251,-3.61041142619143E-09,0.000166533190134299,3.44534353469012E-09,0.000325986536730944,0,0,0,0,0,0,package://HDJQR-0102-0055.SLDASM/meshes/xy3.STL,0.501960784313725,0,0,1,0,0,0,0,0,0,package://HDJQR-0102-0055.SLDASM/meshes/xy3.STL,,HDJQR-0102-01-1/双支撑共轴单元A-1/桨叶-2,xy3z,xyl3,xyj3,continuous,0.00267276914357811,-0.0449205556636787,0.244699998785246,1.5707963267949,0,0.059429866219687,l1,0,0,-1,0,0,-10,10,,,,,,,,
xy4,-3.35068185752796E-07,-1.09872108884365E-07,0.000693235043219081,0,0,0,0.0289687904125558,0.000147650497863949,-0.000159151017812699,-3.47969396847373E-09,0.000178552056154144,3.57807804044448E-09,0.000325986445578563,0,0,0,0,0,0,package://HDJQR-0102-0055.SLDASM/meshes/xy4.STL,0.501960784313725,0,0,1,0,0,0,0,0,0,package://HDJQR-0102-0055.SLDASM/meshes/xy4.STL,,HDJQR-0102-01-1/双支撑共轴单元A-1/桨叶-1,xy4z,xyl4,xyj4,continuous,-0.00267277084968975,0.0449205552057727,0.244699998787766,-1.5707963267949,0,0.0594298662196879,l1,0,0,-1,0,0,-10,10,,,,,,,,
