pwm_us,start_s,end_s,samples,voltage_v,current_a,rpm,signed_rpm,force_kg,force_n,torque_nm
1000.0,6.2,7.8,7.0,23.85,8.821,20886.5,-20886.5,-0.61386,-6.019910168999999,0.2402625
1050.0,8.0,9.6,7.0,23.85,7.562,19812.8,-19812.8,-0.55586,-5.451124469,0.2173092
1100.0,10.0,11.6,7.0,23.91,5.578,17883.0,-17883.0,-0.44511,-4.3650379814999996,0.1756776
1150.0,12.0,13.6,7.0,23.97,3.961,15887.9,-15887.9,-0.34499,-3.3831961835,0.1385544
1200.0,14.0,15.6,7.0,24.01,2.894,14215.2,-14215.2,-0.27358,-2.6829033069999997,0.1091091
1250.0,16.0,17.6,7.0,24.05,2.047,12542.0,-12542.0,-0.2094,-2.05351251,0.0843837
1300.0,18.0,19.6,7.0,24.09,1.442,11027.8,-11027.8,-0.15899,-1.5591592834999999,0.0656099
1350.0,20.0,21.6,7.0,24.12,0.91,9261.7,-9261.7,-0.10744,-1.0536264759999998,0.0453164
1400.0,22.0,23.6,7.0,24.14,0.495,7221.9,-7221.9,-0.06293,-0.6171324844999999,0.0274851
1450.0,24.0,25.6,7.0,24.17,0.161,4419.0,-4419.0,-0.01858,-0.182207557,0.0094243
1500.0,26.0,27.400000000000002,28.0,24.18,0.003,0.0,0.0,-0.001385,-0.013582210249999999,-0.00108215
1550.0,27.8,29.400000000000002,7.0,24.19,0.074,2396.4,2396.4,0.00158,0.015494507,-0.0043209
1600.0,29.8,31.400000000000002,7.0,24.18,0.356,6165.8,6165.8,0.06713,0.6583204144999999,-0.0196502
1650.0,31.8,33.4,7.0,24.16,0.759,8527.8,8527.8,0.15878,1.557099887,-0.0384811
1700.0,33.8,35.4,7.0,24.14,1.281,10412.4,10412.4,0.25853,2.5353132245,-0.0580547
1750.0,35.800000000000004,37.4,7.0,24.11,1.834,11868.1,11868.1,0.35759,3.5067599735,-0.0771868
1800.0,37.800000000000004,39.4,7.0,24.06,2.597,13444.7,13444.7,0.4856,4.762109239999999,-0.1005829
1850.0,39.800000000000004,41.4,7.0,24.0,3.709,15226.9,15226.9,0.66229,6.4948462285,-0.1313756
1900.0,41.800000000000004,43.4,7.0,23.92,5.198,17147.3,17147.3,0.86345,8.4675519425,-0.1664968
1950.0,43.800000000000004,45.4,7.0,23.82,6.934,18894.5,18894.5,1.07771,10.5687247715,-0.2030016
2000.0,45.800000000000004,47.4,7.0,23.7,9.031,20645.0,20645.0,1.3029,12.777084284999999,-0.242461
